base_code;time_last_update_utc;data_last_update;USD;EUR;JPY;GBP;AUD;CAD;CHF;CNY;HKD;NZD;BRL;INR
AUD;2025-09-30 00:00:01;2025-09-30;0.6575;0.5604;97.6949;0.4891;1.0;0.915;0.5242;4.6799;5.1162;1.1368;3.5018;58.3422
AUD;2025-09-27 00:00:01;2025-09-27;0.6543;0.5596;97.869;0.4887;1.0;0.9119;0.5224;4.6683;5.0891;1.1339;3.4995;58.0593
BRL;2025-09-30 00:00:01;2025-09-30;0.1878;0.1601;27.9056;0.1397;0.2857;0.2614;0.1497;1.3369;1.4602;0.3247;1.0;16.6579
BRL;2025-09-27 00:00:01;2025-09-27;0.1867;0.1599;27.9599;0.1396;0.2858;0.2601;0.1492;1.3329;1.4524;0.324;1.0;16.5616
CAD;2025-09-30 00:00:01;2025-09-30;0.7185;0.6128;106.7675;0.5348;1.0929;1.0;0.573;5.1186;5.5904;1.2424;3.8254;63.7351
CAD;2025-09-27 00:00:01;2025-09-27;0.7173;0.6138;107.2893;0.5357;1.0966;1.0;0.5727;5.1212;5.5807;1.2431;3.8453;63.6318
CHF;2025-09-30 00:00:01;2025-09-30;1.2538;1.0692;186.4059;0.9334;1.9076;1.7452;1.0;8.9372;9.7597;2.1692;6.6779;111.2731
CHF;2025-09-27 00:00:01;2025-09-27;1.2526;1.0711;187.3315;0.9358;1.9142;1.7461;1.0;8.9396;9.7452;2.1709;6.7021;111.0918
CNY;2025-09-30 00:00:01;2025-09-30;0.1403;0.1196;20.8777;0.1045;0.2137;0.1954;0.1119;1.0;1.0923;0.2428;0.748;12.4565
CNY;2025-09-27 00:00:01;2025-09-27;0.1401;0.1198;20.9687;0.1047;0.2142;0.1953;0.1119;1.0;1.0901;0.2428;0.7505;12.429
EUR;2025-09-30 00:00:01;2025-09-30;1.1724;1.0;174.3039;0.8732;1.7845;1.6318;0.9353;8.3579;9.1276;2.0282;6.2472;104.0372
EUR;2025-09-27 00:00:01;2025-09-27;1.1694;1.0;174.8406;0.8738;1.7869;1.6292;0.9336;8.3466;9.0958;2.0265;6.2554;103.6783
GBP;2025-09-30 00:00:01;2025-09-30;1.3435;1.1452;199.7028;1.0;2.0444;1.8699;1.0713;9.5732;10.4552;2.3237;7.1589;119.1924
GBP;2025-09-27 00:00:01;2025-09-27;1.3386;1.1444;200.2696;1.0;2.0462;1.8668;1.0686;9.5499;10.4104;2.3194;7.1623;118.7271
HKD;2025-09-30 00:00:01;2025-09-30;0.1285;0.1096;19.1005;0.09565;0.1955;0.1789;0.1025;0.9155;1.0;0.2222;0.6848;11.4016
HKD;2025-09-27 00:00:01;2025-09-27;0.1285;0.1099;19.2302;0.09606;0.1965;0.1792;0.1026;0.9174;1.0;0.2228;0.6885;11.403
INR;2025-09-30 00:00:01;2025-09-30;0.01127;0.009612;1.6754;0.00839;0.01714;0.01569;0.008987;0.08028;0.08771;0.01948;0.06007;1.0
INR;2025-09-27 00:00:01;2025-09-27;0.01127;0.009645;1.6866;0.008421;0.01722;0.01572;0.009002;0.08046;0.0877;0.01953;0.06038;1.0
JPY;2025-09-30 00:00:01;2025-09-30;0.006727;0.005737;1.0;0.005007;0.01024;0.009366;0.005365;0.0479;0.05235;0.01164;0.03584;0.5969
JPY;2025-09-27 00:00:01;2025-09-27;0.006686;0.00572;1.0;0.004993;0.01022;0.009321;0.005338;0.04769;0.052;0.01159;0.03577;0.5929
NZD;2025-09-30 00:00:01;2025-09-30;0.5782;0.493;85.9253;0.4303;0.8797;0.8051;0.461;4.1193;4.4999;1.0;3.0797;51.3327
NZD;2025-09-27 00:00:01;2025-09-27;0.577;0.4935;86.3054;0.4311;0.8819;0.8044;0.4606;4.1182;4.489;1.0;3.0916;51.1981
USD;2025-09-30 00:00:01;2025-09-30;1.0;0.853;148.6619;0.7443;1.5209;1.3917;0.7976;7.1267;7.7824;1.7296;5.3295;88.7665
USD;2025-09-27 00:00:01;2025-09-27;1.0;0.8552;149.5762;0.747;1.5285;1.394;0.7985;7.1387;7.7799;1.733;5.3567;88.748
